name,href,price,support,deal_cnt
联想电脑台式机i3i5i9商务办公网课学习工作设计吃鸡游戏独显二手台式机整套套餐5】I5-3470/8G/120G固+500G送高清显示器三年质保品牌原装,https://item.jd.com/67701207724.html,1059.00,否,100000.0
华橙酷睿i5/i7级八核/GTX1660S6G独显/企业办公迷你家用组装吃鸡台式机电脑主机整机全电脑主机配置二（i7级六核+16G内存+GT游戏独显）,https://item.jd.com/49004939880.html,789.00,否,1000
华硕天选X2022电竞游戏台式机电脑主机(i5-12400F16G512GSSDGTX1660Ti6G独显wifi),https://item.jd.com/100021404087.html,5489.00,是,20000.0
"京品电脑	
攀升探险家12代i712700F/RTX3060/华硕B660/500GNVMe/16G设计师电竞游戏台式电脑主机全套整机DIY组装机UPC",https://item.jd.com/100014771931.html,7499.00,是,5000
宏碁（Acer）设计师游戏家用办公组装水冷台式电脑单主机(i9-11900F32G1T固态+2T3060Ti冷排散热)定制,https://item.jd.com/100043170991.html,8699.00,是,1.0
宏华（HONUA）Intel酷睿i5高频处理器GTX10808G吃鸡游戏家用办公台式组装电脑主机主机配置一：高频强芯+4G内存+高清集显家用办公,https://item.jd.com/29321058532.html,498.00,否,20000.0
联想（Lenovo）小新2423.8英寸一体机电脑全面屏高性能学生网课台式电脑企业办公家用标配R5-5500U8G512GSSD黑色,https://item.jd.com/10337379820.html,3749.00,否,1000
AppleMacmini新款八核M1芯片8G256GSSD台式电脑主机MGNR3CH/A,https://item.jd.com/100016616044.html,5299.00,是,20000.0
"京品电脑	
华硕天选X电竞游戏台式机电脑主机(Inteli5-11400F16G512GSSDRTX306012G独显WiFi三年上门)",https://item.jd.com/100029717180.html,5289.00,是,20000.0
戴尔（DELL）成就3881/3890台式机电脑办公电脑商用主机家用网课财务迷你主机全套英特尔G64058G256G固态定制主机+21.5英寸显示器,https://item.jd.com/10038805191350.html,2849.00,否,5000
"爱心东东	
UIG英特尔酷睿i7升十二核/32G内存/RTX3060吃鸡台式电脑全套主机组装游戏家用企业办公单主机配置六【E5十二核+32G/1024G电竞旗舰】",https://item.jd.com/10056872646584.html,3798.00,否,10000.0
华硕i712700F\/KF\/RTX3060\/3070Ti高配直播台式电脑主机DIY组装机配置一（12700F+ONDA昂达3060）,https://item.jd.com/10029898893356.html,6799.00,否,1000
紫金侠11代酷睿i7八核RTX3060吃鸡LOL直播设计商用家用办公游戏电脑台式机主机整机组装机【水冷】主机+32英寸高清显示器全套送键鼠D1581十六核/16g/512g/1650电竞,https://item.jd.com/10064598597781.html,3989.00,否,0.0
航向者i512400F/RTX2060/3060Ti永劫无间吃鸡游戏台式电脑主机DIY组装机全套套五水冷加强款：512G丨32G丨20708G,https://item.jd.com/10023418376798.html,3199.00,否,20000.0
清华同方（THTF）精锐M825商用办公台式电脑整机(i5-1240016G512GSSD内置WiFi三年上门）23.8英寸,https://item.jd.com/100039834445.html,3699.00,是,5000
"拍拍	
联想i3/i5/i7企业税控商务办公家用娱乐学习网课游戏设计全套台式电脑主机二手台式机套餐三：i5丨8G丨240G固态【单主机联想优选9成新",https://item.jd.com/51598017191.html,799.00,否,5000
戴尔（DELL）成就3890台式机电脑办公商用家用网课单主机【i5-1140016G512G固态定制】,https://item.jd.com/100044136995.html,3449.00,是,29.0
戴尔（DELL）OptiPlex7080升级7090MT十一代i7商用设计绘图渲染建模台式机电脑单主机（含键鼠）I7-11700/16G/1T+256G/4G独显,https://item.jd.com/29285639607.html,5799.00,否,5000
攀升商睿2代办公台式电脑11代i516G512GSSD,https://item.jd.com/100029889022.html,2599.00,是,20000.0
"拍拍	
铭速酷睿i7级i9级5600TX1660S显卡图吧设计直播游戏办公网课台式电脑主机组装机高端电脑套餐三i58G500G流畅独显主机",https://item.jd.com/46097845562.html,788.00,否,500
机械师（MACHENIKE）T90-T游戏台式机电脑电竞主机（i5-124008G512GSSDGTX1050Ti4GWin11三年上门）,https://item.jd.com/100017535227.html,3999.00,是,2000
惠普HP暗影精灵8台式电脑游戏台式机主机设计师电脑12代i5-12400FGTX1660S6G独显16G256GSSD+1T,https://item.jd.com/100018169545.html,5499.00,是,50000.0
华硕（ASUS）DIY整机12代G6900/G7400办公台式机主机企业采购组装电脑家用网课全套单主机配置一,https://item.jd.com/10036039191072.html,1699.00,否,1000
戴尔（DELL）chengming商用台式机家用网课办公电脑单主机G59058G256G固态定制,https://item.jd.com/100043399697.html,1899.00,是,100
英特尔i9升八核主机GTX1070独显直播吃鸡游戏电脑办公整机DIY组装二手台式机全套六：i9级高频加速+1060电竞吃鸡32曲面全套99新,https://item.jd.com/42896522967.html,2499.00,否,20000.0
联想(Lenovo)GeekPro2022设计师游戏台式电脑主机(12代i5-12400FGTX1650super16G512GSSD),https://item.jd.com/100018670771.html,5299.00,是,20000.0
铭能XS2180商务办公家用学习游戏台式电脑主机整机(英特尔酷睿i7+4G独显+16G+256G)23.8英寸曲面屏,https://item.jd.com/100042973105.html,1999.00,是,5000
联想(ThinkStation)P340塔式渲染工作站图形设计台式电脑主机i5-105003.1GHz6核/8G/1TBSATA/集显/300W,https://item.jd.com/100020311353.html,4999.00,是,100
浪潮英政CE520F国产台式机电脑主机定制FT-20004C/8G/256G/1G独显/23.8英寸显示器,https://item.jd.com/100038210726.html,6299.00,是,1.0
戴尔（DELL）成就3881商用办公台式电脑全套整机家用主机3710升级款外观单主机（含键盘鼠标）英特尔G64058G256G固态,https://item.jd.com/10058483299900.html,2299.00,否,5000
AOCAIO大师92623.8英寸高清办公台式一体机电脑(11代i5-11260H8G256G双频WiFi3年上门商务键鼠)黑,https://item.jd.com/100028200229.html,3049.00,是,20000.0
航向者i512400F/RTX2060/3060Ti永劫无间吃鸡游戏台式电脑主机DIY组装机全套套六水冷加强款：512G丨32G丨306012G,https://item.jd.com/10028332761786.html,3599.00,否,20000.0
微星（MSI）台式机I312100F/1660S/2060吃鸡电竞游戏组装台式电脑主机全套整机配置二12100F/480G/GTX1660S单主机,https://item.jd.com/10056932111802.html,3699.00,否,200
雷神（ThundeRobot）黑武士高配游戏电竞渲染台式电脑无显卡电脑主机12代I5|I7现货速发i5-12400+16G+512G【赛博朋克定制】,https://item.jd.com/10044961613531.html,4065.83,否,2000
华硕（ASUS）DIY整机12代i3/i512400办公游戏台式机主机家用网课商务组装全套电脑配置五(i512400+16G+512G)单主机,https://item.jd.com/10055829262094.html,3199.00,否,500
雷神（ThundeRobot）i5设计师游戏高端台式电脑主机在线教育12代处理器【办公专属】i5-12400+8G+1030,https://item.jd.com/10046640027703.html,3123.87,否,500
圣技仕迷你主机ITX微型小电脑mini台式酷睿四核商用办公家用娱乐便携HTPC云终端整机套餐一酷睿i3/2g内存/64g固态,https://item.jd.com/10037237798151.html,429.00,否,5000
航向者intel酷睿i7升十核/RTX2060S/1660S游戏吃鸡台式电脑主机DIY全套组装机套餐三i9级十核丨32G丨20606G独显,https://item.jd.com/10040206057448.html,2099.00,否,1000
"爱心东东	
狄派酷睿i9升十核/16G内存/1660S独显/台式机电脑主机整机全套组装家用电竞企业办公电脑主机+24英寸显示器配置四:十二核丨32G丨1T固态丨2060S",https://item.jd.com/10061289974039.html,4398.00,否,5000
华硕（ASUS）DIY整机12代i512400F游戏台式机主机企业采购办公设计组装电脑全套配置五(i512400F+GTX1660S)主机+27英寸显示器,https://item.jd.com/10039401025532.html,4649.00,否,5000
华硕（ASUS）华硕i5-10400/12400企业家用办公核显台式电脑主机商用电脑DIY组装机旗舰版（套餐三）升级12代,https://item.jd.com/10030523367129.html,2899.00,否,2000
ROG光刃G152022新款神光同步+侧透电竞游戏台式机电脑主机星空黑i7-12700RTX307016G1TBSSD+1TBHDD,https://item.jd.com/10045175939913.html,12499.00,否,200
亚当贝尔12代i712700F/RTX306012G电竞吃鸡游戏光追独显台式DIY组装电脑主机单主机+21.5英寸显示器i712700F/RTX306012G/32G,https://item.jd.com/10062235967410.html,6799.00,否,2.0
华硕（ASUS）DIY整机【未来者】12代i5-12400F/3060台式电脑电竞吃鸡游戏直播主机配置二i512400F/2060/16G内存主机+AOC27英寸显示器,https://item.jd.com/10055363551793.html,5699.00,否,500
戴尔（DELL）灵越3910新款12代i5-12400商用办公台式机电脑主机家用游戏设计整机单主机8G512G固态集显i5-12400定制版,https://item.jd.com/10047152349136.html,3999.00,否,50000.0
"拍拍	
酷睿i7i9级i5八核10代六核2060显卡游戏办公直播台式四核i3十代i5组装电脑主机游戏台式机i5650四核8G500G入门显卡套餐三送键盘鼠标",https://item.jd.com/31906927216.html,799.00,否,2000
铭能XS7650商务办公家用娱乐炒股游戏台式电脑主机整机(英特尔酷睿i5+8G+512G固态)23.8英寸曲面屏,https://item.jd.com/100038367265.html,1299.00,是,5000
"京品电脑	
京天DuelD56i5-12400F/GTX16504G/16GDDR4/1TBSSD/3年上门/台式吃鸡游戏组装电脑整机DIY主机UPC",https://item.jd.com/100031821930.html,3999.00,是,20000.0
雷索英特尔十二代酷睿i312100企业采购办公客服商用家用游戏台式电脑主机DIY组装机全套整机二：i312100丨8GDDR4丨256G,https://item.jd.com/10151049051.html,1699.00,否,10000.0
宏碁（Acer）商用办公台式机整机家用网课电脑主机12代i5-1240016G256GSSD+1T机械+23.8英寸显示器定制,https://item.jd.com/100028185867.html,3799.00,是,2000
华橙酷睿i5升酷睿i7八线程/GTX1660S6G吃鸡台式电脑主机DIY组装机全套游戏企业办公配置四畅玩吃鸡丨酷睿i7丨16G丨8G吃鸡独显主机+显示器,https://item.jd.com/10046247777844.html,1998.00,否,10000.0
AOC荣光910高性能商用办公台式机电脑主机（12代i5-1240016G512GSSD商务键鼠三年上门）,https://item.jd.com/100034732248.html,2999.00,是,10000.0
亚当贝尔电竞独显办公游戏迷你家用组装吃鸡台式机电脑主机整机电脑主机配置四（E5八核/16G/512G/旗舰显卡）,https://item.jd.com/23388780561.html,1680.00,否,50000.0
天虹酷睿i5十代台式机电脑主机家用游戏办公设计网课八核10605G独显组装电脑整机全套DIY电脑【套一】酷睿i3四线程/4G/128G台式主机,https://item.jd.com/10046671383018.html,499.00,否,500
英特尔酷睿i7十二核6G独显台式电脑主机吃鸡游戏商务办公设计绘图渲染学习上网课睿炽家用组装电脑全套套餐二：i7级十核｜16G｜512G｜流畅吃鸡主机+27英寸显示器,https://item.jd.com/10057308417127.html,2599.00,否,200
神舟HASEE新瑞E10十二代赛扬商用办公台式电脑主机(G69008GDDR4256GSSDWIN11),https://item.jd.com/100032427224.html,1699.00,是,5000
"拍拍	
联想M4350s/7150系列二手电脑台式机双核四核品牌机i3i5i7办公家用学习整机3】i5-2400s/4/128G/20寸/9成新",https://item.jd.com/10023509955427.html,868.00,否,200
宏碁（acer）酷睿12代i7-12700台式电脑办公商用游戏绘图设计整机家用电脑主机全套单主机电脑【办公进阶】12代G6900+12G+512G,https://item.jd.com/10055354360723.html,2388.00,否,2000
戴尔dell成就3710台式机电脑主机商用办公电脑整机(12代i3-121008G1TBWiFiWin11)21.5英寸,https://item.jd.com/100020387729.html,3399.00,是,100000.0
"拍拍	
联想台式电脑整机i3i5i7商务办公家用游戏娱乐主机显示器全套台式机整机二手台式机【15】i7/16G/740G送24全新曲面显示器亏本冲量免费试用三年...",https://item.jd.com/70936231820.html,1699.00,否,50000.0
联想（Lenovo）超能云终端商用办公台式机微型电脑mini小机箱ECC-T30J4125/8G/128GSSD,https://item.jd.com/100043884017.html,1965.00,是,0.0
简朵英特尔酷睿i5/十核/16G内存/RTX2060S办公企业家用游戏台式电脑主机全套DIY组装机特效游戏三》英特尔六核5640丨16G丨GT730标配,https://item.jd.com/10031347308104.html,695.00,否,20000.0
攀升商睿2Pro设计师办公商用台式电脑主机（12代酷睿i5-12400F16G256GSSD+2T4G独显WiFi6）,https://item.jd.com/100019732825.html,3899.00,是,20000.0
"京品电脑	
京天StrikeS50i5-10400F/GTX1660S/16GDDR4/512G台式组装吃鸡电脑游戏主机UPC",https://item.jd.com/4560045.html,3999.00,是,2000
航向者英特尔i5酷睿i7升八核/GTX16606G吃鸡台式电脑主机DIY组装整机全套游戏企业办公电脑主机+显示器套五intel八核丨16G丨8G吃鸡独显,https://item.jd.com/10049060717456.html,1898.00,否,100000.0
辉夏酷睿I9\/308012G电脑主机组装家用网吧LOL游戏直播电竞吃鸡主机设计办公台式电脑全套套餐三,https://item.jd.com/10041914573134.html,799.00,否,1000
AOC【2022年新品】28英寸4K一体机电脑酷睿12代电竞独显游戏家用办公设计渲染壁挂台式整机12代i5/32G/1TB/6G独显,https://item.jd.com/10054754801108.html,8499.00,否,100
联想台式机电脑可装Win7系统或Win10内置光驱i5-10400F16G内存1T机械+256G固态2G独显单主机定制版,https://item.jd.com/100032879251.html,4699.00,是,45.0
ROG光魔G10AMD锐龙R7神光同步+侧透电竞游戏台式机电脑主机黑色R7-5800XRTX306016GB1TBSSD+1TBHDD,https://item.jd.com/10044047222629.html,8299.00,否,87.0
"拍拍	
英特尔I7级六核独显GTX16606G游戏直播吃鸡全套办公主机DIY组装二手台式机电脑套餐三i7级六核/16G/750独显/高效LOL主机+显示器99新",https://item.jd.com/51432086253.html,1661.00,否,20000.0
将臣英特尔i9级十核GTX1660S6G直播电竞游戏电脑主机全套办公台式机家用设计师组装电脑整机配置三十核/306012G/32G/480G单主机,https://item.jd.com/10058190265248.html,3899.00,否,200
联想（Lenovo）Geekpro办公游戏台式机电脑主机(定制i7-12700F32G512G+1THDD独显12GRTX3060Win11),https://item.jd.com/100041104125.html,9399.00,是,8.0
联想（Lenovo）天逸510S7.4升小机箱个人商务家用台式机电脑12代酷睿i5-124008G内存512G固态23英寸,https://item.jd.com/10059670057183.html,4139.00,是,5000
联想（Lenovo）拯救者刃9000K水冷侧透|游戏电脑主机定制I9-12900K128G/2T+12T/公版RTX309024GB,https://item.jd.com/100034704937.html,43089.00,是,0.0
宏碁(Acer)台式电脑办公商用迷你主机家用整机全套(12代i5-1240016G256G+1T)商祺X4270680A23.8英寸,https://item.jd.com/100019442995.html,4099.00,是,2000
"京品电脑	
惠普HP暗影精灵8台式电脑游戏台式机主机侧透12代i7-12700FRTX30708G独显16G512G+1T全面版",https://item.jd.com/100034170578.html,9699.00,是,50000.0
亚当贝尔英特尔酷睿i7/独显/16G家用办公电竞游戏吃鸡设计师炒股组装台式电脑主机整机全套主机+27英寸电竞显示器配置四：酷睿i7/GTX1660S6G/16G,https://item.jd.com/10037070161518.html,3999.00,否,20000.0
机械师（MACHENIKE）T90-T设计师游戏台式电脑电竞主机（i5-1240016G512GSSDGT10304G显存三年上门）,https://item.jd.com/100027699835.html,3699.00,是,2000
航向者酷睿i5升i7/GTX1660S/2060S家用电竞游戏办公企业台式电脑主机DIY组装机全套套三酷睿i5丨16G丨5808G独显,https://item.jd.com/10049072649550.html,1469.00,否,41.0
"拍拍	
英特尔i9升八核主机GTX1070独显直播吃鸡游戏电脑办公整机DIY组装二手台式机全套一：酷睿i5（千元游戏办公全套）全套99新",https://item.jd.com/44108328240.html,1099.00,否,20000.0
联想Lenovo扬天商用办公电脑整机台式机家用台机M4000q锐龙R58G512G,https://item.jd.com/10057853041066.html,3299.00,否,64.0
"拍拍	
苹果（Apple）imac二手苹果一体机主机21.5/27英寸超薄办公设计家用娱乐游戏台式机电脑95新主推丨508-8G/256G固态21.5英寸",https://item.jd.com/10026332566185.html,2069.00,否,10000.0
联想(Lenovo)天逸510S英特尔酷睿i3个人商务台式机电脑整机(12代i3-121008G1THDDwin11)21.45英寸,https://item.jd.com/100019676411.html,3199.00,是,100000.0
"爱心东东	
天钡MN37AMD锐龙R7台式机电脑迷你游戏小主机4K三显工控天宝家用办公超微型桌面迷你pcR7-3750H/DIY版【无硬盘无内存】",https://item.jd.com/67655511726.html,1498.00,否,500
联想(Lenovo)天逸510S英特尔酷睿i5个人商务台式机电脑整机(12代i5-1240016G512GSSDwin11)23英寸,https://item.jd.com/100039568404.html,4199.00,是,100000.0
康佳（KONKA）电脑个人商用办公台式机电脑主机（11代4核N50958G256GSSD）,https://item.jd.com/100032989929.html,898.00,是,500
攀升（IPASON）商逸台式机12代酷睿i5商用办公设计家用游戏台式电脑主机整机【2022款】酷睿i5-1240016G512(NVme),https://item.jd.com/10058592166008.html,2699.00,是,500
宁美国度龙魂i512400F/RTX3050/3060/Ti台式机组装电脑主机游戏台式电脑整机i512400F+GTX1660S16G/500G,https://item.jd.com/10048194196594.html,5088.00,否,20000.0
七彩虹（Colorful）i512400F/12490FRTX3060/Ti台式组装电脑主机配置一：i512400/核显/8G/256G,https://item.jd.com/10059523896827.html,2599.00,否,27.0
攀升商悦设计师办公商用台式电脑整机（i7-12700F16G512G+2T4G独显WiFi63年上门）单主机diy组装机全套,https://item.jd.com/100028382333.html,5499.00,是,20000.0
台式电脑英特尔i5i7八核独显GTX1070游戏吃鸡家用办公设计组装二手台式机套餐二【酷睿i7/16G/240G/独显/24寸】全套99成新,https://item.jd.com/10050885856405.html,2199.00,否,500
航向者英特尔i5酷睿i7升八核/GTX16606G吃鸡台式电脑主机DIY组装整机全套游戏企业办公电脑主机+显示器套四intel八核丨16G丨7404G独显,https://item.jd.com/11930425330.html,1698.00,否,100000.0
航向者英特尔i5酷睿i7升八核/GTX16606G吃鸡台式电脑主机DIY组装整机全套游戏企业办公电脑主机+显示器套三intel六核丨16G丨4G游戏独显,https://item.jd.com/11930425327.html,1498.00,否,100000.0
航向者英特尔i5酷睿i7升八核/GTX16606G吃鸡台式电脑主机DIY组装整机全套游戏企业办公电脑主机+显示器套六intel八核丨16G丨1660S6G独显,https://item.jd.com/10040737626152.html,2198.00,否,100000.0
七彩虹（Colorful）iGameSigmaM380II赤刃2水冷游戏台式电脑主机（12代i5-1240016G500GnvmeRTX3050）,https://item.jd.com/100021039597.html,5599.00,是,5000
"爱心东东	
英特尔酷睿i7-11800八核RTX2060S独显卡电竞游戏家用办公设计渲染领睿台式主机组装电脑全套单主机套餐一酷睿i5六核/8G内存/256G硬盘",https://item.jd.com/10055262902617.html,2499.00,否,200
神舟(HASEE)新锐T30B一体机台式电脑23.8黑色（Intel四核J3710win78G256GWIFI键鼠）,https://item.jd.com/100011916673.html,1488.00,是,500
联想(Lenovo)天逸510Pro个人商务台式机电脑整机(12代i7-12700F16G1T+256GMAX100独显)23英寸,https://item.jd.com/100033293837.html,7099.00,是,20000.0
"京品电脑	
联想(Lenovo)天逸510S个人商务台式机电脑整机(12代i5-12400 16G1T+256GSSDwifiwin11)单主机",https://item.jd.com/100031315632.html,3799.00,是,50000.0
京天DuelD536i5-12400F/RTX306012G/16G/500G/B660/3年上门台式吃鸡游戏组装电脑整机DIY主机UPC,https://item.jd.com/100031821874.html,6199.00,是,20000.0
绿蛇英特尔i3/i5酷睿i7升四核/R7350/LOL台式电脑主机DIY组装机游戏企业办公设计套餐一,https://item.jd.com/10044189431884.html,599.00,否,500
酷耶（Cooyes）八核游戏16G台式机电脑主机整机全套组装家用电竞企业办公套餐一(i5四核+GT730独显)+显示器,https://item.jd.com/12784088653.html,2198.00,否,100000.0
鑫锐i712700/i9/RTX3060/70吃鸡游戏电竞直播水冷台式DIY组装电脑主机全套套七-十一代i9-RTX3070丨32G丨27寸,https://item.jd.com/10038480152963.html,6699.00,否,20000.0
航向者i510400F/八核/GTX1660S6G电竞游戏吃鸡办公台式电脑主机DIY组装机全套,https://item.jd.com/10162122906.html,1999.00,否,2000
宁美国度龙魂i512400F/RTX3050/3060/Ti台式机组装电脑主机游戏台式电脑整机i510400F+GTX1660S16G/500G,https://item.jd.com/17355053604.html,4188.00,否,20000.0
武极武神A1AMD锐龙55600电竞游戏台式组装电脑主机整机DIY组装机配置四：R55600+RTX3060推荐主机,https://item.jd.com/10051902133342.html,5168.00,否,1000
ROG光魔G15AMD锐龙R7神光同步+侧透电竞游戏台式机电脑主机黑色R7-5800XRTX306016GB1TBSSD+1TBHDD,https://item.jd.com/10044048593448.html,8799.00,否,100
铭能XS2180电竞吃鸡游戏设计光追独显台式电脑主机整机(英特尔酷睿i7+RTX2060S8G独显+16G+256G固态),https://item.jd.com/100043293191.html,2799.00,是,0.0
华硕（ASUS）DIY整机i512400F/GTX1660S台式机27英寸显示器游戏组装电脑主机一【i510400F+RX5504G】单主机,https://item.jd.com/10049801148720.html,3099.00,否,100
机械师（MACHENIKE）未来战舰II代游戏台式机电脑电竞设计主机（12代i5-1240016G512GSSDRTX3050Win11）,https://item.jd.com/100032917936.html,5698.00,是,2000
攀升（IPASON）战神酷睿i5/16G设计电竞游戏台式电脑主机整机NVMe固态【2022款】十代i5GTX165016G512G,https://item.jd.com/10059988794164.html,3399.00,是,1000
机械师（MACHENIKE）创物者MII代设计主机商用办公台式机电脑（12代i5-1240016G512GSSDGT7304G独显）,https://item.jd.com/100017648291.html,3499.99,是,5000
航向者i512400F/RTX2060/3060Ti永劫无间吃鸡游戏台式电脑主机DIY组装机全套套二加强款：512G固态丨16G丨1660S6G,https://item.jd.com/13307356724.html,2399.00,否,20000.0
华硕（ASUS）DIY整机12代i3/i512400办公游戏台式机主机家用网课商务组装全套电脑配置五(i512400+16G+512G)主机+23.8英寸显示器,https://item.jd.com/10055829262095.html,3699.00,否,500
戴尔（DELL）成就3681台式机办公电脑迷你主机全套整机商用家用小机箱3710同款G64058G256G固态+21.5英寸显示器定制带键盘鼠标,https://item.jd.com/10044101207358.html,2749.00,否,2000
"爱心东东	
狄派酷睿i9升十核/16G内存/1660S独显/台式机电脑主机整机全套组装家用电竞企业办公电脑主机+27英寸显示器配置二:十核丨512G丨GTX1660S独显",https://item.jd.com/10061289974041.html,3298.00,否,5000
酷耶（Cooyes）八核游戏16G台式机电脑主机整机全套组装家用电竞企业办公套餐二(十核+GTX1650)+显示器,https://item.jd.com/17651966214.html,2798.00,否,100000.0
